signal_id,symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
20260922-105057-001,BTC-USDT,LONG,S3,کرونوس (Cronus),85343.00000000,81929.28000000,0.00000000,2026-09-22 10:50:57,CLOSED,TRAIL_STOP,2026-09-22 12:13:02,85924.85000000,0.200000,0.481778,10.00,0.681778,titan_signal,14182,81929.28000000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260922-105059-002,BTC-USDT,LONG,B1,هایپریون (Hyperion),85343.00000000,81929.28000000,0.00000000,2026-09-22 10:50:59,CLOSED,TRAIL_STOP,2026-09-22 12:13:02,85924.85000000,0.200000,0.481778,10.00,0.681778,titan_signal,14183,81929.28000000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260922-105100-003,ETH-USDT,LONG,S3,کرونوس (Cronus),2728.40000000,2619.26400000,0.00000000,2026-09-22 10:51:00,CLOSED,TRAIL_STOP,2026-09-22 12:13:03,2741.25200000,0.200000,0.271045,10.00,0.471045,titan_signal,14184,2619.26400000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260922-105102-004,ETH-USDT,LONG,B1,هایپریون (Hyperion),2728.40000000,2619.26400000,0.00000000,2026-09-22 10:51:02,CLOSED,TRAIL_STOP,2026-09-22 12:13:03,2741.25200000,0.200000,0.271045,10.00,0.471045,titan_signal,14185,2619.26400000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260922-105103-005,BNB-USDT,LONG,S3,کرونوس (Cronus),785.95800000,754.51968000,0.00000000,2026-09-22 10:51:03,OPEN,,,,,,10.00,,titan_signal,14186,754.51968000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260922-105105-006,SOL-USDT,LONG,S3,کرونوس (Cronus),116.62000000,111.95520000,0.00000000,2026-09-22 10:51:05,CLOSED,TRAIL_STOP,2026-09-22 12:13:04,117.05200000,0.200000,0.170434,10.00,0.370434,titan_signal,14187,111.95520000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260922-105106-007,SOL-USDT,LONG,B1,هایپریون (Hyperion),116.62000000,111.95520000,0.00000000,2026-09-22 10:51:06,CLOSED,TRAIL_STOP,2026-09-22 12:13:04,117.05200000,0.200000,0.170434,10.00,0.370434,titan_signal,14188,111.95520000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260922-105111-008,XRP-USDT,LONG,S1,پرومتئوس (Prometheus),1.52092000,1.46008320,0.00000000,2026-09-22 10:51:11,CLOSED,TRAIL_STOP,2026-09-22 12:13:05,1.53223300,0.200000,0.543826,10.00,0.743826,titan_signal,14189,1.46008320,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260922-105112-009,XRP-USDT,LONG,S3,کرونوس (Cronus),1.52092000,1.46008320,0.00000000,2026-09-22 10:51:12,CLOSED,TRAIL_STOP,2026-09-22 12:13:05,1.53223300,0.200000,0.543826,10.00,0.743826,titan_signal,14190,1.46008320,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260922-105114-010,XRP-USDT,LONG,B1,هایپریون (Hyperion),1.52092000,1.46008320,0.00000000,2026-09-22 10:51:14,CLOSED,TRAIL_STOP,2026-09-22 12:13:06,1.53223300,0.200000,0.543826,10.00,0.743826,titan_signal,14191,1.46008320,0.003000,0.9000,0.0400,10,10.00,100.00,96
