symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BTC-USDT,LONG,S3,کرونوس (Cronus),80025.90000000,76824.86400000,0.00000000,2026-09-06 07:12:33,OPEN,,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.999 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.997 [too high];[PASS] EMA Trend 1h: EMA21=79844.08, EMA50=79737.23;[PASS] EMA Trend 4h: EMA21=79557.14, EMA50=78799.89, EMA200=72567.80;[PASS] RSI 30m: RSI=61.74;[PASS] MACD 30m: MACD_hist=7.8120;[FAIL] Smart Pullback: price=80025.9000 EMA=79878.5946 RSI=61.7 BS=0.999;[FAIL] ADX: ADX=17.05 [>22], DI+=27.45, DI-=15.08;[PASS] CCI Momentum: CCI=97.63;[PASS] SAR: SAR=79906.1460, price=80025.9000;[FAIL] Stochastic: K=92.47 D=92.47;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0005 [>0.005];[FAIL] Combined Range Filter: diff=0.0005, ADX=17.05, mode=AND"
BTC-USDT,LONG,B1,هایپریون (Hyperion),80025.90000000,76824.86400000,0.00000000,2026-09-06 07:12:35,OPEN,,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.999 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.997 [too high];[PASS] EMA Trend 1h: EMA21=79844.08, EMA50=79737.23;[PASS] EMA Trend 4h: EMA21=79557.14, EMA50=78799.89, EMA200=72567.80;[PASS] RSI 30m: RSI=61.74;[PASS] MACD 30m: MACD_hist=7.8120;[FAIL] Smart Pullback: price=80025.9000 EMA=79878.5946 RSI=61.7 BS=0.999;[FAIL] ADX: ADX=17.05 [>22], DI+=27.45, DI-=15.08;[PASS] CCI Momentum: CCI=97.63;[PASS] SAR: SAR=79906.1460, price=80025.9000;[FAIL] Stochastic: K=92.47 D=92.47;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0005 [>0.005];[FAIL] Combined Range Filter: diff=0.0005, ADX=17.05, mode=OR"
ETH-USDT,LONG,S3,کرونوس (Cronus),2512.61000000,2412.10560000,0.00000000,2026-09-06 07:12:36,OPEN,,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.860 [too high - likely end of move];[PASS] Candle Strength 5m: BS5=0.632 [>= 0.6];[PASS] EMA Trend 1h: EMA21=2480.58, EMA50=2470.41;[PASS] EMA Trend 4h: EMA21=2466.78, EMA50=2450.36, EMA200=2222.93;[FAIL] RSI 30m: RSI=76.95;[PASS] MACD 30m: MACD_hist=1.9074;[FAIL] Smart Pullback: price=2512.6100 EMA=2488.7311 RSI=76.9 BS=0.860;[PASS] ADX: ADX=52.28 [>22], DI+=39.53, DI-=4.79;[FAIL] CCI Momentum: CCI=159.43;[PASS] SAR: SAR=2500.4208, price=2512.6100;[FAIL] Stochastic: K=95.79 D=95.79;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[FAIL] Range Filter: EMA diff=0.0046 [>0.005];[PASS] Combined Range Filter: diff=0.0046, ADX=52.28, mode=AND"
ETH-USDT,LONG,B1,هایپریون (Hyperion),2512.61000000,2412.10560000,0.00000000,2026-09-06 07:12:38,OPEN,,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.860 [too high - likely end of move];[PASS] Candle Strength 5m: BS5=0.632 [>= 0.6];[PASS] EMA Trend 1h: EMA21=2480.58, EMA50=2470.41;[PASS] EMA Trend 4h: EMA21=2466.78, EMA50=2450.36, EMA200=2222.93;[FAIL] RSI 30m: RSI=76.95;[PASS] MACD 30m: MACD_hist=1.9074;[FAIL] Smart Pullback: price=2512.6100 EMA=2488.7311 RSI=76.9 BS=0.860;[PASS] ADX: ADX=52.28 [>22], DI+=39.53, DI-=4.79;[FAIL] CCI Momentum: CCI=159.43;[PASS] SAR: SAR=2500.4208, price=2512.6100;[FAIL] Stochastic: K=95.79 D=95.79;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[FAIL] Range Filter: EMA diff=0.0046 [>0.005];[PASS] Combined Range Filter: diff=0.0046, ADX=52.28, mode=OR"
BNB-USDT,LONG,S3,کرونوس (Cronus),765.14100000,734.53536000,0.00000000,2026-09-06 07:12:39,OPEN,,,,,,10.00,,"[PASS] Candle Strength 15m: BS15=0.695 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.294 [>= 0.6];[PASS] EMA Trend 1h: EMA21=760.05, EMA50=743.53;[PASS] EMA Trend 4h: EMA21=732.51, EMA50=713.23, EMA200=657.31;[PASS] RSI 30m: RSI=51.26;[FAIL] MACD 30m: MACD_hist=-1.7120;[FAIL] Smart Pullback: price=765.1410 EMA=765.8016 RSI=51.3 BS=0.695;[FAIL] ADX: ADX=30.88 [>22], DI+=18.58, DI-=20.61;[FAIL] CCI Momentum: CCI=-78.50;[PASS] SAR: SAR=763.6286, price=765.1410;[FAIL] Stochastic: K=38.55 D=38.55;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0113 [>0.005];[PASS] Combined Range Filter: diff=0.0113, ADX=30.88, mode=AND"
BNB-USDT,LONG,B1,هایپریون (Hyperion),765.14100000,734.53536000,0.00000000,2026-09-06 07:12:41,OPEN,,,,,,10.00,,"[PASS] Candle Strength 15m: BS15=0.695 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.294 [>= 0.6];[PASS] EMA Trend 1h: EMA21=760.05, EMA50=743.53;[PASS] EMA Trend 4h: EMA21=732.51, EMA50=713.23, EMA200=657.31;[PASS] RSI 30m: RSI=51.26;[FAIL] MACD 30m: MACD_hist=-1.7120;[FAIL] Smart Pullback: price=765.1410 EMA=765.8016 RSI=51.3 BS=0.695;[FAIL] ADX: ADX=30.88 [>22], DI+=18.58, DI-=20.61;[FAIL] CCI Momentum: CCI=-78.50;[PASS] SAR: SAR=763.6286, price=765.1410;[FAIL] Stochastic: K=38.55 D=38.55;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0113 [>0.005];[PASS] Combined Range Filter: diff=0.0113, ADX=30.88, mode=OR"
SOL-USDT,LONG,S3,کرونوس (Cronus),106.62000000,102.35520000,0.00000000,2026-09-06 07:12:43,OPEN,,,,,,10.00,,"[PASS] Candle Strength 15m: BS15=0.777 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.413 [>= 0.6];[PASS] EMA Trend 1h: EMA21=103.56, EMA50=102.96;[PASS] EMA Trend 4h: EMA21=102.87, EMA50=101.90, EMA200=90.40;[FAIL] RSI 30m: RSI=81.22;[PASS] MACD 30m: MACD_hist=0.2328;[FAIL] Smart Pullback: price=106.6200 EMA=103.9470 RSI=81.2 BS=0.777;[PASS] ADX: ADX=28.80 [>22], DI+=51.06, DI-=8.58;[FAIL] CCI Momentum: CCI=343.19;[PASS] SAR: SAR=104.4340, price=106.6200;[FAIL] Stochastic: K=88.73 D=88.73;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0056 [>0.005];[PASS] Combined Range Filter: diff=0.0056, ADX=28.80, mode=AND"
SOL-USDT,LONG,B1,هایپریون (Hyperion),106.62000000,102.35520000,0.00000000,2026-09-06 07:12:44,OPEN,,,,,,10.00,,"[PASS] Candle Strength 15m: BS15=0.777 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.413 [>= 0.6];[PASS] EMA Trend 1h: EMA21=103.56, EMA50=102.96;[PASS] EMA Trend 4h: EMA21=102.87, EMA50=101.90, EMA200=90.40;[FAIL] RSI 30m: RSI=81.22;[PASS] MACD 30m: MACD_hist=0.2328;[FAIL] Smart Pullback: price=106.6200 EMA=103.9470 RSI=81.2 BS=0.777;[PASS] ADX: ADX=28.80 [>22], DI+=51.06, DI-=8.58;[FAIL] CCI Momentum: CCI=343.19;[PASS] SAR: SAR=104.4340, price=106.6200;[FAIL] Stochastic: K=88.73 D=88.73;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0056 [>0.005];[PASS] Combined Range Filter: diff=0.0056, ADX=28.80, mode=OR"
LTC-USDT,LONG,S1,پرومتئوس (Prometheus),54.99000000,52.79040000,0.00000000,2026-09-06 07:12:47,OPEN,,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.485 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.937 [too high];[PASS] EMA Trend 1h: EMA21=53.99, EMA50=52.83;[PASS] EMA Trend 4h: EMA21=52.13, EMA50=50.89, EMA200=48.28;[PASS] RSI 30m: RSI=63.76;[FAIL] MACD 30m: MACD_hist=-0.0259;[FAIL] Smart Pullback: price=54.9900 EMA=54.5046 RSI=63.8 BS=0.485;[PASS] ADX: ADX=32.33 [>22], DI+=29.71, DI-=15.73;[FAIL] CCI Momentum: CCI=113.17;[PASS] SAR: SAR=54.5816, price=54.9900;[FAIL] Stochastic: K=78.34 D=78.34;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0131 [>0.005];[PASS] Combined Range Filter: diff=0.0131, ADX=32.33, mode=AND"
LTC-USDT,LONG,S3,کرونوس (Cronus),54.99000000,52.79040000,0.00000000,2026-09-06 07:12:48,OPEN,,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.485 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.937 [too high];[PASS] EMA Trend 1h: EMA21=53.99, EMA50=52.83;[PASS] EMA Trend 4h: EMA21=52.13, EMA50=50.89, EMA200=48.28;[PASS] RSI 30m: RSI=63.76;[FAIL] MACD 30m: MACD_hist=-0.0259;[FAIL] Smart Pullback: price=54.9900 EMA=54.5046 RSI=63.8 BS=0.485;[PASS] ADX: ADX=32.33 [>22], DI+=29.71, DI-=15.73;[FAIL] CCI Momentum: CCI=113.17;[PASS] SAR: SAR=54.5816, price=54.9900;[FAIL] Stochastic: K=78.34 D=78.34;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0131 [>0.005];[PASS] Combined Range Filter: diff=0.0131, ADX=32.33, mode=AND"
