symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
FIL-USDT,SHORT,B2,اطلس (Atlas),0.77470000,0.80568800,0.00000000,2026-09-04 08:16:32,CLOSED,TRAIL_STOP,2026-09-04 12:48:33,0.74059000,0.200000,4.202995,10.00,4.402995,titan_signal
SEI-USDT,LONG,S3,کرونوس (Cronus),0.04870000,0.04675200,0.00000000,2026-09-04 08:16:34,CLOSED,TRAIL_STOP,2026-09-04 05:42:41,0.04891600,0.200000,0.243532,10.00,0.443532,titan_signal
SEI-USDT,LONG,B1,هایپریون (Hyperion),0.04870000,0.04675200,0.00000000,2026-09-04 08:16:35,CLOSED,TRAIL_STOP,2026-09-04 05:42:42,0.04891600,0.200000,0.243532,10.00,0.443532,titan_signal
OP-USDT,LONG,S3,کرونوس (Cronus),0.09980000,0.09580800,0.00000000,2026-09-04 08:16:38,CLOSED,TRAIL_STOP,2026-09-04 05:42:42,0.10007000,0.200000,0.070541,10.00,0.270541,titan_signal
PEPE-USDT,LONG,S3,کرونوس (Cronus),0.00000367,0.00000352,0.00000000,2026-09-04 08:16:39,CLOSED,TRAIL_STOP,2026-09-04 09:17:25,0.00000368,0.200000,0.168148,10.00,0.368148,titan_signal
PEPE-USDT,LONG,B1,هایپریون (Hyperion),0.00000367,0.00000352,0.00000000,2026-09-04 08:16:40,CLOSED,TRAIL_STOP,2026-09-04 09:17:25,0.00000368,0.200000,0.168148,10.00,0.368148,titan_signal
SHIB-USDT,LONG,S3,کرونوس (Cronus),0.00000535,0.00000514,0.00000000,2026-09-04 08:16:42,CLOSED,TRAIL_STOP,2026-09-04 09:17:26,0.00000537,0.200000,0.085768,10.00,0.285768,titan_signal
SHIB-USDT,LONG,B1,هایپریون (Hyperion),0.00000535,0.00000514,0.00000000,2026-09-04 08:16:43,CLOSED,TRAIL_STOP,2026-09-04 09:17:26,0.00000537,0.200000,0.085768,10.00,0.285768,titan_signal
DOT-USDT,LONG,S3,کرونوس (Cronus),0.87740000,0.84230400,0.00000000,2026-09-04 08:46:01,CLOSED,TRAIL_STOP,2026-09-04 09:17:27,0.88091000,0.200000,0.200046,10.00,0.400046,titan_signal
TIA-USDT,LONG,S3,کرونوس (Cronus),0.36160000,0.34713600,0.00000000,2026-09-04 08:46:04,CLOSED,TRAIL_STOP,2026-09-04 09:17:27,0.36259000,0.200000,0.073783,10.00,0.273783,titan_signal
SUI-USDT,LONG,S3,کرونوس (Cronus),0.76900000,0.73824000,0.00000000,2026-09-04 09:12:59,CLOSED,TRAIL_STOP,2026-09-04 07:17:02,0.77332000,0.200000,0.361769,10.00,0.561769,titan_signal
FIL-USDT,SHORT,S3,کرونوس (Cronus),0.77330000,0.80423200,0.00000000,2026-09-04 09:13:01,CLOSED,TRAIL_STOP,2026-09-04 06:21:45,0.76907000,0.200000,0.347006,10.00,0.547006,titan_signal
SUI-USDT,LONG,B1,هایپریون (Hyperion),0.76830000,0.73756800,0.00000000,2026-09-04 09:51:52,CLOSED,TRAIL_STOP,2026-09-04 07:17:03,0.77325000,0.200000,0.444280,10.00,0.644280,titan_signal
FIL-USDT,SHORT,S2,ایاپتوس (Iapetus),0.77020000,0.80100800,0.00000000,2026-09-04 10:18:06,CLOSED,TRAIL_STOP,2026-09-04 12:48:33,0.74014000,0.200000,3.702882,10.00,3.902882,titan_signal
FIL-USDT,SHORT,S3,کرونوس (Cronus),0.77020000,0.80100800,0.00000000,2026-09-04 10:18:07,CLOSED,TRAIL_STOP,2026-09-04 12:22:37,0.76759000,0.200000,0.138873,10.00,0.338873,titan_signal
POL-USDT,LONG,S3,کرونوس (Cronus),0.09480000,0.09100800,0.00000000,2026-09-04 10:18:10,CLOSED,TRAIL_STOP,2026-09-04 07:17:03,0.09534000,0.200000,0.369620,10.00,0.569620,titan_signal
DOGE-USDT,LONG,S3,کرونوس (Cronus),0.08725000,0.08376000,0.00000000,2026-09-04 10:47:17,CLOSED,TRAIL_STOP,2026-09-04 09:17:28,0.08763700,0.200000,0.243553,10.00,0.443553,titan_signal
DOGE-USDT,LONG,B1,هایپریون (Hyperion),0.08725000,0.08376000,0.00000000,2026-09-04 10:47:19,CLOSED,TRAIL_STOP,2026-09-04 09:17:28,0.08763700,0.200000,0.243553,10.00,0.443553,titan_signal
SUI-USDT,LONG,S3,کرونوس (Cronus),0.77220000,0.74131200,0.00000000,2026-09-04 10:47:21,CLOSED,TRAIL_STOP,2026-09-04 09:17:29,0.77688000,0.200000,0.406061,10.00,0.606061,titan_signal
NEAR-USDT,LONG,S3,کرونوس (Cronus),1.98410000,1.90473600,0.00000000,2026-09-04 10:47:22,CLOSED,TRAIL_STOP,2026-09-04 09:17:29,2.00129000,0.200000,0.666388,10.00,0.866388,titan_signal
NEAR-USDT,LONG,B1,هایپریون (Hyperion),1.98410000,1.90473600,0.00000000,2026-09-04 10:47:23,CLOSED,TRAIL_STOP,2026-09-04 09:17:30,2.00129000,0.200000,0.666388,10.00,0.866388,titan_signal
DOT-USDT,SHORT,S3,کرونوس (Cronus),0.87450000,0.90948000,0.00000000,2026-09-04 10:47:25,CLOSED,TRAIL_STOP,2026-09-04 08:18:54,0.87189000,0.200000,0.098456,10.00,0.298456,titan_signal
DOT-USDT,SHORT,B2,اطلس (Atlas),0.87450000,0.90948000,0.00000000,2026-09-04 10:47:26,CLOSED,TRAIL_STOP,2026-09-04 12:48:33,0.84813000,0.200000,2.815437,10.00,3.015437,titan_signal
POL-USDT,LONG,S3,کرونوس (Cronus),0.09490000,0.09110400,0.00000000,2026-09-04 10:47:30,CLOSED,TRAIL_STOP,2026-09-04 08:18:54,0.09553000,0.200000,0.463857,10.00,0.663857,titan_signal
XAUT-USDT,LONG,B1,هایپریون (Hyperion),4474.82000000,4295.82720000,0.00000000,2026-09-04 11:14:12,CLOSED,EOD_FORCE_CLOSE,2026-09-04 19:33:19,4430.22000000,0.200000,-1.196688,10.00,-0.996688,titan_signal
POL-USDT,LONG,B1,هایپریون (Hyperion),0.09450000,0.09072000,0.00000000,2026-09-04 11:14:17,CLOSED,TRAIL_STOP,2026-09-04 08:18:55,0.09558000,0.200000,0.942857,10.00,1.142857,titan_signal
