symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BTC-USDT,LONG,S3,کرونوس (Cronus),77975.90000000,74856.86400000,0.00000000,2026-09-03 15:48:55,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.585 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.585 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=77608.80, EMA50=77610.16;[PASS] EMA Trend 4h: EMA21=77807.29, EMA50=77592.55, EMA200=71813.60;[PASS] RSI 30m: RSI=58.23;[PASS] MACD 30m: MACD_hist=6.5599;[FAIL] Smart Pullback: price=77975.9000 EMA=77713.4042 RSI=58.2 BS=0.585;[FAIL] ADX: ADX=10.72 [>22], DI+=23.50, DI-=16.79;[FAIL] CCI Momentum: CCI=148.84;[PASS] SAR: SAR=77851.9400, price=77975.9000;[FAIL] Stochastic: K=80.14 D=80.14;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0020 [>0.005];[FAIL] Combined Range Filter: diff=0.0020, ADX=10.72, mode=AND"
BTC-USDT,LONG,B1,هایپریون (Hyperion),77975.90000000,74856.86400000,0.00000000,2026-09-03 15:48:57,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.585 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.585 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=77608.80, EMA50=77610.16;[PASS] EMA Trend 4h: EMA21=77807.29, EMA50=77592.55, EMA200=71813.60;[PASS] RSI 30m: RSI=58.23;[PASS] MACD 30m: MACD_hist=6.5599;[FAIL] Smart Pullback: price=77975.9000 EMA=77713.4042 RSI=58.2 BS=0.585;[FAIL] ADX: ADX=10.72 [>22], DI+=23.50, DI-=16.79;[FAIL] CCI Momentum: CCI=148.84;[PASS] SAR: SAR=77851.9400, price=77975.9000;[FAIL] Stochastic: K=80.14 D=80.14;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0020 [>0.005];[FAIL] Combined Range Filter: diff=0.0020, ADX=10.72, mode=OR"
ETH-USDT,LONG,S3,کرونوس (Cronus),2407.53000000,2311.22880000,0.00000000,2026-09-03 15:48:58,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.328 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.328 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=2400.02, EMA50=2409.29;[FAIL] EMA Trend 4h: EMA21=2420.90, EMA50=2422.18, EMA200=2198.55;[PASS] RSI 30m: RSI=55.60;[PASS] MACD 30m: MACD_hist=0.2844;[FAIL] Smart Pullback: price=2407.5300 EMA=2400.5115 RSI=55.6 BS=0.328;[FAIL] ADX: ADX=12.76 [>22], DI+=19.72, DI-=18.81;[PASS] CCI Momentum: CCI=99.57;[PASS] SAR: SAR=2402.7998, price=2407.5300;[FAIL] Stochastic: K=67.22 D=67.22;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0002 [>0.005];[FAIL] Combined Range Filter: diff=0.0002, ADX=12.76, mode=AND"
ETH-USDT,LONG,B1,هایپریون (Hyperion),2407.53000000,2311.22880000,0.00000000,2026-09-03 15:49:00,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.328 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.328 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=2400.02, EMA50=2409.29;[FAIL] EMA Trend 4h: EMA21=2420.90, EMA50=2422.18, EMA200=2198.55;[PASS] RSI 30m: RSI=55.60;[PASS] MACD 30m: MACD_hist=0.2844;[FAIL] Smart Pullback: price=2407.5300 EMA=2400.5115 RSI=55.6 BS=0.328;[FAIL] ADX: ADX=12.76 [>22], DI+=19.72, DI-=18.81;[PASS] CCI Momentum: CCI=99.57;[PASS] SAR: SAR=2402.7998, price=2407.5300;[FAIL] Stochastic: K=67.22 D=67.22;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0002 [>0.005];[FAIL] Combined Range Filter: diff=0.0002, ADX=12.76, mode=OR"
BNB-USDT,LONG,S3,کرونوس (Cronus),710.71400000,682.28544000,0.00000000,2026-09-03 15:49:01,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.020 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.020 [>= 0.6];[PASS] EMA Trend 1h: EMA21=696.60, EMA50=691.92;[PASS] EMA Trend 4h: EMA21=693.39, EMA50=690.57, EMA200=646.83;[FAIL] RSI 30m: RSI=76.63;[PASS] MACD 30m: MACD_hist=1.1720;[FAIL] Smart Pullback: price=710.7140 EMA=700.4908 RSI=76.6 BS=0.020;[PASS] ADX: ADX=45.35 [>22], DI+=40.61, DI-=5.31;[FAIL] CCI Momentum: CCI=154.21;[PASS] SAR: SAR=709.5352, price=710.7140;[FAIL] Stochastic: K=80.81 D=80.81;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0084 [>0.005];[PASS] Combined Range Filter: diff=0.0084, ADX=45.35, mode=AND"
BNB-USDT,LONG,B1,هایپریون (Hyperion),710.71400000,682.28544000,0.00000000,2026-09-03 15:49:03,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.020 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.020 [>= 0.6];[PASS] EMA Trend 1h: EMA21=696.60, EMA50=691.92;[PASS] EMA Trend 4h: EMA21=693.39, EMA50=690.57, EMA200=646.83;[FAIL] RSI 30m: RSI=76.63;[PASS] MACD 30m: MACD_hist=1.1720;[FAIL] Smart Pullback: price=710.7140 EMA=700.4908 RSI=76.6 BS=0.020;[PASS] ADX: ADX=45.35 [>22], DI+=40.61, DI-=5.31;[FAIL] CCI Momentum: CCI=154.21;[PASS] SAR: SAR=709.5352, price=710.7140;[FAIL] Stochastic: K=80.81 D=80.81;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0084 [>0.005];[PASS] Combined Range Filter: diff=0.0084, ADX=45.35, mode=OR"
SOL-USDT,LONG,S3,کرونوس (Cronus),100.77000000,96.73920000,0.00000000,2026-09-03 15:49:04,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.586 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.552 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=100.30, EMA50=100.54;[PASS] EMA Trend 4h: EMA21=101.14, EMA50=100.63, EMA200=89.07;[PASS] RSI 30m: RSI=55.17;[FAIL] MACD 30m: MACD_hist=-0.0254;[FAIL] Smart Pullback: price=100.7700 EMA=100.4642 RSI=55.2 BS=0.586;[FAIL] ADX: ADX=17.66 [>22], DI+=20.24, DI-=14.42;[PASS] CCI Momentum: CCI=59.47;[PASS] SAR: SAR=100.6570, price=100.7700;[FAIL] Stochastic: K=59.33 D=59.33;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0025 [>0.005];[FAIL] Combined Range Filter: diff=0.0025, ADX=17.66, mode=AND"
SOL-USDT,LONG,B1,هایپریون (Hyperion),100.77000000,96.73920000,0.00000000,2026-09-03 15:49:06,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.586 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.552 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=100.30, EMA50=100.54;[PASS] EMA Trend 4h: EMA21=101.14, EMA50=100.63, EMA200=89.07;[PASS] RSI 30m: RSI=55.17;[FAIL] MACD 30m: MACD_hist=-0.0254;[FAIL] Smart Pullback: price=100.7700 EMA=100.4642 RSI=55.2 BS=0.586;[FAIL] ADX: ADX=17.66 [>22], DI+=20.24, DI-=14.42;[PASS] CCI Momentum: CCI=59.47;[PASS] SAR: SAR=100.6570, price=100.7700;[FAIL] Stochastic: K=59.33 D=59.33;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0025 [>0.005];[FAIL] Combined Range Filter: diff=0.0025, ADX=17.66, mode=OR"
XRP-USDT,LONG,S3,کرونوس (Cronus),1.37146000,1.31660160,0.00000000,2026-09-03 15:49:08,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.384 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.384 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.36, EMA50=1.36;[FAIL] EMA Trend 4h: EMA21=1.37, EMA50=1.37, EMA200=1.25;[PASS] RSI 30m: RSI=57.46;[FAIL] MACD 30m: MACD_hist=-0.0003;[FAIL] Smart Pullback: price=1.3715 EMA=1.3646 RSI=57.5 BS=0.384;[PASS] ADX: ADX=24.28 [>22], DI+=21.85, DI-=12.75;[FAIL] CCI Momentum: CCI=114.38;[PASS] SAR: SAR=1.3689, price=1.3715;[FAIL] Stochastic: K=69.43 D=69.43;[PASS] EMA Rejection: Rejected;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[PASS] Range Filter: EMA diff=0.0051 [>0.005];[PASS] Combined Range Filter: diff=0.0051, ADX=24.28, mode=AND"
XRP-USDT,LONG,B1,هایپریون (Hyperion),1.37146000,1.31660160,0.00000000,2026-09-03 15:49:10,OPEN,,,,,10.00,,"[FAIL] Candle Strength 15m: BS15=0.384 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.384 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.36, EMA50=1.36;[FAIL] EMA Trend 4h: EMA21=1.37, EMA50=1.37, EMA200=1.25;[PASS] RSI 30m: RSI=57.46;[FAIL] MACD 30m: MACD_hist=-0.0003;[FAIL] Smart Pullback: price=1.3715 EMA=1.3646 RSI=57.5 BS=0.384;[PASS] ADX: ADX=24.28 [>22], DI+=21.85, DI-=12.75;[FAIL] CCI Momentum: CCI=114.38;[PASS] SAR: SAR=1.3689, price=1.3715;[FAIL] Stochastic: K=69.43 D=69.43;[PASS] EMA Rejection: Rejected;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[PASS] Range Filter: EMA diff=0.0051 [>0.005];[PASS] Combined Range Filter: diff=0.0051, ADX=24.28, mode=OR"
