symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,signal_id,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
DOT-USDT,LONG,S3,کرونوس (Cronus),1.21770000,1.16899200,0.00000000,2026-09-08 21:12:24,CLOSED,TRAIL_STOP,2026-09-09 12:16:41,1.23975000,0.200000,1.610791,10.00,1.810791,"[FAIL] Candle Strength 15m: BS15=0.032 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.741 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.10, EMA50=1.05;[PASS] EMA Trend 4h: EMA21=1.03, EMA50=0.96, EMA200=0.87;[FAIL] RSI 30m: RSI=79.87;[PASS] MACD 30m: MACD_hist=0.0130;[FAIL] Smart Pullback: price=1.2177 EMA=1.1320 RSI=79.9 BS=0.032;[PASS] ADX: ADX=33.72 [>22], DI+=40.72, DI-=7.92;[FAIL] CCI Momentum: CCI=151.47;[PASS] SAR: SAR=1.1907, price=1.2177;[FAIL] Stochastic: K=93.32 D=93.32;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0332 [>0.005];[PASS] Combined Range Filter: diff=0.0332, ADX=33.72, mode=AND",,,,,,,,,,
DOT-USDT,LONG,B1,هایپریون (Hyperion),1.21770000,1.16899200,0.00000000,2026-09-08 21:12:25,CLOSED,TRAIL_STOP,2026-09-09 12:16:42,1.23975000,0.200000,1.610791,10.00,1.810791,"[FAIL] Candle Strength 15m: BS15=0.032 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.741 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.10, EMA50=1.05;[PASS] EMA Trend 4h: EMA21=1.03, EMA50=0.96, EMA200=0.87;[FAIL] RSI 30m: RSI=79.87;[PASS] MACD 30m: MACD_hist=0.0130;[FAIL] Smart Pullback: price=1.2177 EMA=1.1320 RSI=79.9 BS=0.032;[PASS] ADX: ADX=33.72 [>22], DI+=40.72, DI-=7.92;[FAIL] CCI Momentum: CCI=151.47;[PASS] SAR: SAR=1.1907, price=1.2177;[FAIL] Stochastic: K=93.32 D=93.32;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0332 [>0.005];[PASS] Combined Range Filter: diff=0.0332, ADX=33.72, mode=OR",,,,,,,,,,
OP-USDT,SHORT,S3,کرونوس (Cronus),0.10600000,0.11024000,0.00000000,2026-09-08 21:12:30,CLOSED,TRAIL_STOP,2026-09-09 12:16:42,0.10492000,0.200000,0.818868,10.00,1.018868,"[PASS] Candle Strength 15m: BS15=0.778 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.667 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=0.11, EMA50=0.11;[FAIL] EMA Trend 4h: EMA21=0.11, EMA50=0.10, EMA200=0.10;[PASS] RSI 30m: RSI=35.12;[FAIL] MACD 30m: MACD_hist=-0.0002;[FAIL] Smart Pullback: price=0.1060 EMA=0.1080 RSI=35.1 BS=0.778;[FAIL] ADX: ADX=12.14 [>22], DI+=19.68, DI-=32.00;[FAIL] CCI Momentum: CCI=-150.99;[PASS] SAR: SAR=0.1064, price=0.1060;[FAIL] Stochastic: K=13.64 D=13.64;[PASS] EMA Rejection: Rejected;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[PASS] Range Filter: EMA diff=0.0074 [>0.005];[PASS] Combined Range Filter: diff=0.0074, ADX=12.14, mode=AND",,,,,,,,,,
ETH-USDT,LONG,S3,کرونوس (Cronus),2502.27000000,2402.17920000,0.00000000,2026-09-08 21:51:21,CLOSED,TRAIL_STOP,2026-09-09 12:16:43,2512.53000000,0.200000,0.210028,10.00,0.410028,"[FAIL] Candle Strength 15m: BS15=0.936 [too high - likely end of move];[PASS] Candle Strength 5m: BS5=0.692 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=2486.50, EMA50=2487.13;[PASS] EMA Trend 4h: EMA21=2485.23, EMA50=2469.41, EMA200=2249.81;[PASS] RSI 30m: RSI=59.59;[PASS] MACD 30m: MACD_hist=2.5719;[FAIL] Smart Pullback: price=2502.2700 EMA=2485.7033 RSI=59.6 BS=0.936;[FAIL] ADX: ADX=16.82 [>22], DI+=29.55, DI-=17.08;[FAIL] CCI Momentum: CCI=106.34;[PASS] SAR: SAR=2488.2040, price=2502.2700;[FAIL] Stochastic: K=83.28 D=83.28;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0000 [>0.005];[FAIL] Combined Range Filter: diff=0.0000, ADX=16.82, mode=AND",,,,,,,,,,
ETH-USDT,LONG,B1,هایپریون (Hyperion),2502.27000000,2402.17920000,0.00000000,2026-09-08 21:51:23,CLOSED,TRAIL_STOP,2026-09-09 12:16:43,2512.53000000,0.200000,0.210028,10.00,0.410028,"[FAIL] Candle Strength 15m: BS15=0.936 [too high - likely end of move];[PASS] Candle Strength 5m: BS5=0.692 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=2486.50, EMA50=2487.13;[PASS] EMA Trend 4h: EMA21=2485.23, EMA50=2469.41, EMA200=2249.81;[PASS] RSI 30m: RSI=59.59;[PASS] MACD 30m: MACD_hist=2.5719;[FAIL] Smart Pullback: price=2502.2700 EMA=2485.7033 RSI=59.6 BS=0.936;[FAIL] ADX: ADX=16.82 [>22], DI+=29.55, DI-=17.08;[FAIL] CCI Momentum: CCI=106.34;[PASS] SAR: SAR=2488.2040, price=2502.2700;[FAIL] Stochastic: K=83.28 D=83.28;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0000 [>0.005];[FAIL] Combined Range Filter: diff=0.0000, ADX=16.82, mode=OR",,,,,,,,,,
XRP-USDT,LONG,S3,کرونوس (Cronus),1.44227000,1.38457920,0.00000000,2026-09-08 21:51:25,OPEN,,,,,,10.00,,"[PASS] Candle Strength 15m: BS15=0.698 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.522 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.41, EMA50=1.41;[PASS] EMA Trend 4h: EMA21=1.41, EMA50=1.40, EMA200=1.27;[FAIL] RSI 30m: RSI=71.20;[PASS] MACD 30m: MACD_hist=0.0034;[FAIL] Smart Pullback: price=1.4423 EMA=1.4142 RSI=71.2 BS=0.698;[PASS] ADX: ADX=23.12 [>22], DI+=33.12, DI-=11.37;[FAIL] CCI Momentum: CCI=127.18;[PASS] SAR: SAR=1.4269, price=1.4423;[FAIL] Stochastic: K=87.32 D=87.32;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[PASS] Range Filter: EMA diff=0.0057 [>0.005];[PASS] Combined Range Filter: diff=0.0057, ADX=23.12, mode=AND",,,,,,,,,,
XRP-USDT,LONG,B1,هایپریون (Hyperion),1.44227000,1.38457920,0.00000000,2026-09-08 21:51:27,OPEN,,,,,,10.00,,"[PASS] Candle Strength 15m: BS15=0.698 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.522 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.41, EMA50=1.41;[PASS] EMA Trend 4h: EMA21=1.41, EMA50=1.40, EMA200=1.27;[FAIL] RSI 30m: RSI=71.20;[PASS] MACD 30m: MACD_hist=0.0034;[FAIL] Smart Pullback: price=1.4423 EMA=1.4142 RSI=71.2 BS=0.698;[PASS] ADX: ADX=23.12 [>22], DI+=33.12, DI-=11.37;[FAIL] CCI Momentum: CCI=127.18;[PASS] SAR: SAR=1.4269, price=1.4423;[FAIL] Stochastic: K=87.32 D=87.32;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[PASS] Range Filter: EMA diff=0.0057 [>0.005];[PASS] Combined Range Filter: diff=0.0057, ADX=23.12, mode=OR",,,,,,,,,,
DOGE-USDT,LONG,S3,کرونوس (Cronus),0.09075000,0.08712000,0.00000000,2026-09-08 21:51:29,CLOSED,TRAIL_STOP,2026-09-09 12:16:44,0.09119100,0.200000,0.285950,10.00,0.485950,"[FAIL] Candle Strength 15m: BS15=1.000 [too high - likely end of move];[PASS] Candle Strength 5m: BS5=0.750 [>= 0.6];[PASS] EMA Trend 1h: EMA21=0.09, EMA50=0.09;[PASS] EMA Trend 4h: EMA21=0.09, EMA50=0.09, EMA200=0.08;[PASS] RSI 30m: RSI=57.74;[FAIL] MACD 30m: MACD_hist=0.0001;[FAIL] Smart Pullback: price=0.0907 EMA=0.0900 RSI=57.7 BS=1.000;[FAIL] ADX: ADX=10.37 [>22], DI+=18.93, DI-=17.63;[PASS] CCI Momentum: CCI=89.30;[PASS] SAR: SAR=0.0900, price=0.0907;[FAIL] Stochastic: K=96.82 D=96.82;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0002 [>0.005];[FAIL] Combined Range Filter: diff=0.0002, ADX=10.37, mode=AND",,,,,,,,,,
DOGE-USDT,LONG,B1,هایپریون (Hyperion),0.09075000,0.08712000,0.00000000,2026-09-08 21:51:30,CLOSED,TRAIL_STOP,2026-09-09 12:16:45,0.09119100,0.200000,0.285950,10.00,0.485950,"[FAIL] Candle Strength 15m: BS15=1.000 [too high - likely end of move];[PASS] Candle Strength 5m: BS5=0.750 [>= 0.6];[PASS] EMA Trend 1h: EMA21=0.09, EMA50=0.09;[PASS] EMA Trend 4h: EMA21=0.09, EMA50=0.09, EMA200=0.08;[PASS] RSI 30m: RSI=57.74;[FAIL] MACD 30m: MACD_hist=0.0001;[FAIL] Smart Pullback: price=0.0907 EMA=0.0900 RSI=57.7 BS=1.000;[FAIL] ADX: ADX=10.37 [>22], DI+=18.93, DI-=17.63;[PASS] CCI Momentum: CCI=89.30;[PASS] SAR: SAR=0.0900, price=0.0907;[FAIL] Stochastic: K=96.82 D=96.82;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0002 [>0.005];[FAIL] Combined Range Filter: diff=0.0002, ADX=10.37, mode=OR",,,,,,,,,,
SUI-USDT,LONG,S3,کرونوس (Cronus),0.82550000,0.79248000,0.00000000,2026-09-08 21:51:33,CLOSED,TRAIL_STOP,2026-09-09 12:16:45,0.82865000,0.200000,0.181587,10.00,0.381587,"[FAIL] Candle Strength 15m: BS15=0.577 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.667 [>= 0.6];[PASS] EMA Trend 1h: EMA21=0.82, EMA50=0.81;[PASS] EMA Trend 4h: EMA21=0.81, EMA50=0.79, EMA200=0.74;[PASS] RSI 30m: RSI=54.34;[FAIL] MACD 30m: MACD_hist=0.0011;[FAIL] Smart Pullback: price=0.8255 EMA=0.8198 RSI=54.3 BS=0.577;[FAIL] ADX: ADX=16.21 [>22], DI+=15.49, DI-=23.33;[PASS] CCI Momentum: CCI=55.45;[PASS] SAR: SAR=0.8191, price=0.8255;[FAIL] Stochastic: K=78.22 D=78.22;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0017 [>0.005];[FAIL] Combined Range Filter: diff=0.0017, ADX=16.21, mode=AND",,,,,,,,,,
