signal_id,symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
20260910-071443-001,BNB-USDT,SHORT,S3,کرونوس (Cronus),724.52900000,753.51016000,0.00000000,2026-09-10 07:14:43,CLOSED,TRAIL_STOP,2026-09-10 08:46:27,722.42930000,0.200000,0.089802,10.00,0.289802,titan_signal,7127,753.51016000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071445-002,SOL-USDT,SHORT,S3,کرونوس (Cronus),101.86000000,105.93440000,0.00000000,2026-09-10 07:14:45,CLOSED,TRAIL_STOP,2026-09-10 09:53:33,101.48200000,0.200000,0.171098,10.00,0.371098,titan_signal,7128,105.93440000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071449-003,XRP-USDT,SHORT,S3,کرونوس (Cronus),1.39129000,1.44694160,0.00000000,2026-09-10 07:14:49,CLOSED,TRAIL_STOP,2026-09-10 08:46:28,1.38653800,0.200000,0.141554,10.00,0.341554,titan_signal,7129,1.44694160,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071450-004,XAUT-USDT,LONG,S3,کرونوس (Cronus),4405.88000000,4229.64480000,0.00000000,2026-09-10 07:14:50,CLOSED,TRAIL_STOP,2026-09-10 09:13:41,4421.91800000,0.200000,0.164014,10.00,0.364014,titan_signal,7130,4229.64480000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071452-005,XAUT-USDT,LONG,B1,هایپریون (Hyperion),4405.88000000,4229.64480000,0.00000000,2026-09-10 07:14:52,CLOSED,TRAIL_STOP,2026-09-10 09:13:42,4421.91800000,0.200000,0.164014,10.00,0.364014,titan_signal,7131,4229.64480000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260910-071453-006,LTC-USDT,SHORT,S3,کرونوس (Cronus),52.92000000,55.03680000,0.00000000,2026-09-10 07:14:53,CLOSED,TRAIL_STOP,2026-09-10 08:46:29,52.72200000,0.200000,0.174150,10.00,0.374150,titan_signal,7132,55.03680000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071455-007,DOGE-USDT,SHORT,S3,کرونوس (Cronus),0.08601000,0.08945040,0.00000000,2026-09-10 07:14:55,CLOSED,TRAIL_STOP,2026-09-10 08:46:29,0.08577600,0.200000,0.072061,10.00,0.272061,titan_signal,7133,0.08945040,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071459-008,SUI-USDT,SHORT,S3,کرونوس (Cronus),0.77080000,0.80163200,0.00000000,2026-09-10 07:14:59,CLOSED,TRAIL_STOP,2026-09-10 08:46:30,0.76828000,0.200000,0.126933,10.00,0.326933,titan_signal,7134,0.80163200,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071500-009,NEAR-USDT,LONG,S3,کرونوس (Cronus),2.52870000,2.42755200,0.00000000,2026-09-10 07:15:00,CLOSED,TRAIL_STOP,2026-09-10 07:47:58,2.54922000,0.200000,0.611484,10.00,0.811484,titan_signal,7135,2.42755200,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071502-010,NEAR-USDT,LONG,B1,هایپریون (Hyperion),2.52870000,2.42755200,0.00000000,2026-09-10 07:15:02,CLOSED,TRAIL_STOP,2026-09-10 07:47:58,2.54922000,0.200000,0.611484,10.00,0.811484,titan_signal,7136,2.42755200,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260910-071503-011,DOT-USDT,SHORT,S3,کرونوس (Cronus),1.10860000,1.15294400,0.00000000,2026-09-10 07:15:03,CLOSED,TRAIL_STOP,2026-09-10 07:47:58,1.10311000,0.200000,0.295219,10.00,0.495219,titan_signal,7137,1.15294400,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260910-071504-012,ADA-USDT,SHORT,S3,کرونوس (Cronus),0.21360000,0.22214400,0.00000000,2026-09-10 07:15:04,CLOSED,TRAIL_STOP,2026-09-10 08:46:30,0.21252000,0.200000,0.305618,10.00,0.505618,titan_signal,7138,0.22214400,0.003000,0.9000,0.0400,10,10.00,100.00,120
